ON619838.1 	Monkeypox virus isolate MPXV_UK_2022_4, complete genome	United Kingdom	Homo sapiens	Monkeypox virus	complete
ON622712.1 	Monkeypox virus isolate MPX/UZ_REGA_1/Belgium/2022, complete genome	Belgium	Homo sapiens	Monkeypox virus	complete
ON622713.1 	Monkeypox virus isolate MPX/UZ_REGA_2/Belgium/2022, complete genome	Belgium	Homo sapiens	Monkeypox virus	complete
ON627808.1 	Monkeypox virus isolate MPX/human/USA/UT-UPHL-82200022/2022, complete genome	USA	Homo sapiens	Monkeypox virus	complete
ON631241.1 	Monkeypox virus isolate 2022/2 SLO, complete genome	Slovenia	Homo sapiens	Monkeypox virus	complete
ON631963.1 	Monkeypox virus isolate MPxV/VIDRL01/2022, complete genome	Australia	Homo sapiens	Monkeypox virus	complete
ON637938.1 	Monkeypox virus isolate MPXV/Germany/2022/RKI01, complete genome	Germany	Homo sapiens	Monkeypox virus	complete
ON637939.1 	Monkeypox virus isolate MPXV/Germany/2022/RKI02, complete genome	Germany	Homo sapiens	Monkeypox virus	complete
ON644344.1 	Monkeypox virus isolate MPXV_FVG-ITA_01_2022, complete genome	Italy: FVG,Gorizia	Homo sapiens	Monkeypox virus	complete
ON649709.1 	Monkeypox virus isolate Monkeypox/PT0028/2022, complete genome	Portugal	Homo sapiens	Monkeypox virus	complete
ON649713.1 	Monkeypox virus isolate Monkeypox/PT0020/2022, complete genome	Portugal	Homo sapiens	Monkeypox virus	complete
ON649718.1 	Monkeypox virus isolate Monkeypox/PT0018/2022, complete genome	Portugal	Homo sapiens	Monkeypox virus	complete
ON649719.1 	Monkeypox virus isolate Monkeypox/PT0012/2022, complete genome	Portugal	Homo sapiens	Monkeypox virus	complete
ON649720.1 	Monkeypox virus isolate Monkeypox/PT0024/2022, complete genome	Portugal	Homo sapiens	Monkeypox virus	complete
ON649721.1 	Monkeypox virus isolate Monkeypox/PT0021/2022, complete genome	Portugal	Homo sapiens	Monkeypox virus	complete
